ID06,ED_Name,NUTS4,NUTS3,NUTS2,NUTS1,HP2006abs,HP2011abs,HP2016abs,HP2006rel,HP2011rel,HP2016rel,TOTPOP02,TOTPOP06,TOTPOP11,TOTPOP16,popdep_T,popdep_L,popdep_M,popdep_H,share_T,share_L,share_M,share_H,share,POPCHG06,POPCHG11,POPCHG16,AGEDEP06,AGEDEP11,AGEDEP16,LONEPA06,LONEPA11,LONEPA16,EDLOW_06,EDLOW_11,EDLOW_16,EDHIGH06,EDHIGH11,EDHIGH16,HLPROF06,HLPROF11,HLPROF16,LSKILL06,LSKILL11,LSKILL16,UNEMPM06,UNEMPM11,UNEMPM16,UNEMPF06,UNEMPF11,UNEMPF16,PEROOM06,PEROOM11,PEROOM16,LARENT06,LARENT11,LARENT16,PRRENT06,PRRENT11,PRRENT16,OHOUSE06,OHOUSE11,OHOUSE16
1001,CARLOW URBAN/RURAL (PT.),Carlow,South East,Southern & Eastern Region,Ireland,-10.3,-15.6,-12.5,-10.3,-9.4,-7.6,"4,742","4,603","4,181","4,560",4560,3210,1985,860,.10,.14,.19,.24,.17,.0,-.1,.1,29.6,30.0,29.9,40.6,35.0,32.1,25.8,24.0,19.1,20.7,20.7,26.6,17.7,17.5,17.9,29.4,27.6,27.0,15.9,39.0,27.5,14.7,28.3,26.4,.5,.5,.5,13.7,15.5,19.1,30.1,35.4,35.0,54.3,47.7,43.6
1002,GRAIGUE URBAN,Carlow,South East,Southern & Eastern Region,Ireland,-12.3,-18.6,-13.8,-12.3,-12.7,-9.0,"1,591","1,524","1,272","1,405",1405,1081,680,262,.03,.05,.06,.07,.05,.0,-.2,.1,31.4,33.6,31.8,37.2,29.5,31.4,24.4,25.9,19.3,15.8,14.9,18.2,15.0,17.7,13.7,32.5,25.5,29.3,14.3,36.5,22.6,16.1,29.9,21.6,.5,.5,.5,8.9,12.0,15.9,27.1,23.6,20.7,62.3,62.8,61.0
1003,CLONMORE,Carlow,South East,Southern & Eastern Region,Ireland,-3.2,-8.4,-5.5,-3.2,-1.9,-1.8,501,530,560,526,526,299,114,22,.01,.01,.01,.01,.01,.1,.1,-.1,36.0,33.4,34.2,11.7,8.8,11.4,25.6,21.0,21.1,22.9,23.8,24.8,36.0,37.1,34.6,20.2,17.0,20.8,7.6,20.6,9.4,11.8,14.5,6.7,.5,.5,.5,.0,1.1,1.1,1.2,4.5,5.1,98.2,91.7,92.1
1004,HACKETSTOWN,Carlow,South East,Southern & Eastern Region,Ireland,-9.5,-16.6,-14.7,-9.5,-10.6,-10.6,"1,046","1,065","1,091","1,117",1117,874,577,272,.02,.04,.05,.08,.05,.0,.0,.0,31.1,36.1,37.4,24.8,31.1,31.2,27.6,23.0,17.8,11.8,14.7,17.9,20.8,23.8,24.5,33.8,24.0,30.2,11.2,34.5,23.6,11.3,27.0,23.4,.6,.5,.5,11.0,13.8,16.5,7.4,9.3,8.8,79.7,75.8,73.2
1005,HAROLDSTOWN,Carlow,South East,Southern & Eastern Region,Ireland,-1.4,-13.2,-9.1,-1.4,-7.0,-4.7,255,267,259,296,296,201,88,19,.01,.01,.01,.01,.01,.0,.0,.1,37.5,40.2,35.5,12.8,19.4,25.8,28.9,22.4,13.3,19.9,17.0,26.7,35.6,31.7,31.8,16.1,20.7,18.0,4.2,24.6,21.4,4.9,9.8,19.0,.5,.5,.5,.0,.0,1.0,4.7,3.4,3.1,93.0,95.5,93.8
1006,KINEAGH,Carlow,South East,Southern & Eastern Region,Ireland,-.9,-12.0,-7.9,-.9,-5.6,-3.9,301,309,327,343,343,223,93,18,.01,.01,.01,.01,.01,.0,.1,.0,37.2,32.7,33.2,2.8,8.1,11.1,18.3,21.4,16.7,18.3,17.0,24.9,37.2,30.3,33.2,20.9,25.9,17.5,4.8,24.4,13.7,3.3,15.3,18.7,.5,.4,.5,.0,.0,.9,5.0,4.2,6.1,93.0,91.6,89.6
1007,RAHILL,Carlow,South East,Southern & Eastern Region,Ireland,-1.6,-10.4,-7.1,-1.6,-4.1,-3.0,444,585,662,729,729,449,181,35,.02,.02,.02,.01,.02,.3,.2,.1,33.5,35.2,36.5,16.3,13.1,9.7,22.0,19.0,14.8,23.1,20.3,26.8,31.1,35.3,36.8,17.4,17.0,20.2,9.8,25.3,16.5,9.0,16.3,17.9,.5,.4,.5,1.5,1.3,2.4,4.0,6.3,8.5,92.5,89.1,87.0
1008,RATHVILLY,Carlow,South East,Southern & Eastern Region,Ireland,-8.5,-16.8,-13.9,-8.5,-10.8,-9.7,742,802,838,875,875,662,432,201,.02,.03,.04,.06,.04,.1,.1,.0,35.3,33.7,36.8,26.0,20.8,25.6,25.4,24.1,20.3,13.6,15.9,19.4,19.6,18.6,24.7,36.7,26.0,29.0,9.4,40.3,20.9,14.7,23.3,24.3,.6,.5,.5,16.7,13.7,13.9,10.6,15.4,15.1,70.9,69.2,68.8
1009,TIKNOCK,Carlow,South East,Southern & Eastern Region,Ireland,-2.3,-11.9,-10.5,-2.3,-5.6,-6.6,309,331,338,332,332,248,122,30,.01,.01,.01,.01,.01,.1,.0,.0,34.4,38.8,38.9,11.6,15.9,4.8,17.3,15.9,15.6,20.1,22.7,24.2,29.0,28.4,28.6,21.5,25.4,24.0,5.2,26.4,17.3,10.1,17.5,14.1,.5,.5,.5,1.9,2.6,2.8,2.8,5.2,3.7,93.5,91.3,91.7
1010,WILLIAMSTOWN,Carlow,South East,Southern & Eastern Region,Ireland,-.4,-8.1,-2.4,-.4,-1.8,1.6,266,273,297,283,283,124,35,4,.01,.01,.00,.00,.00,.0,.1,.0,29.7,33.3,35.7,19.2,10.3,12.9,19.9,16.5,11.2,33.2,29.6,35.9,41.4,36.0,37.5,15.4,14.5,18.5,9.2,25.0,11.0,10.5,18.6,5.0,.5,.5,.5,3.3,4.9,4.1,3.3,4.9,4.1,86.8,86.3,88.8
